k,c,h0,i0,kh (feedback current gain (air gap)),kv (feedback current gain (velocity)),V_kmh,,a_z_max (Maximum vertical acceleration)
33818320.56,13540.16481,0.010343653,25.90100196,5753.513159,73.28893187,241.8484153,,0.061224061
50914610.69,6683.934316,0.009664203,27.32817571,7008.023625,74.94624412,314.5488785,,0.113659176
39205125.8,6640.520303,0.010988059,23.80343895,6364.130462,35.85103727,416.9114863,,0.306312015
44039709.77,14215.42443,0.010094674,26.29325136,5667.295385,73.79816823,205.6742855,,0.044050851
31749542.91,8825.749312,0.010078524,20.4254304,8113.870465,48.70654722,493.5900705,,0.532520594
55672982.89,12611.801,0.009639297,28.51441654,5973.230799,67.00691277,226.5608109,,0.054019612
38738750.03,8354.562407,0.010980416,21.55176366,8395.273157,49.73200212,221.9678685,,0.05555161
46623618.32,5270.787943,0.009159332,24.93272707,4932.132024,38.6898675,318.807731,,0.140132783
34191351.51,18273.99457,0.00853314,28.03951378,8060.616629,36.49558061,319.8393563,,0.142227669
54521077.03,13043.55115,0.00886958,21.86635124,8334.297341,33.93917277,469.9374311,,0.404087032
41497494.8,11642.89588,0.008319465,26.18805181,7917.745188,75.17803294,214.5694192,,0.046526927
45532008.48,8007.292834,0.010926313,28.63324651,8788.641589,34.17405855,242.7600317,,0.064083533
31216580.65,17038.38349,0.011226769,21.26163881,8721.901188,49.26229752,491.0251257,,0.525093723
57527165.83,11268.45671,0.009893009,25.29974648,8905.765208,67.41754175,213.8685628,,0.049171398
36645381.66,9726.53077,0.008156373,28.61938403,7073.856641,43.20178877,467.2617373,,0.479158769
50406258.39,5038.49939,0.00813894,29.30478072,7235.203275,29.90375609,389.109784,,0.271474816
33393198.1,9645.79177,0.008489831,26.94677975,6179.521426,57.39904351,283.1015193,,0.096885373
51608693.9,8686.756411,0.011320774,28.70564688,4782.729599,52.4772032,365.5912914,,0.1760861
40328717.74,19715.44231,0.010704741,21.076073,6503.024793,42.24014973,341.5989622,,0.162127256
42618617.55,12094.76741,0.010884994,29.74681305,6854.801856,28.43471422,491.5735397,,0.670871519
32333648.12,7468.237334,0.009590645,28.72931789,5257.280469,69.70817228,290.3848265,,0.092916448
57450834.93,8615.190869,0.011535962,29.97050318,5627.754654,62.27180954,335.8936723,,0.141310749
37790680.04,14890.87652,0.009235295,21.60988626,5886.284806,47.40231432,452.59502,,0.375199786
47332121.31,5670.244212,0.011314566,26.74247105,5643.578204,25.93320469,230.3022126,,0.053591234
35294264.7,7401.404887,0.009297334,29.94561578,5154.425086,75.04450422,410.4764656,,0.161458137
53233574.2,8018.656862,0.010388273,25.68613996,6434.029322,79.96632687,340.915625,,0.134518501
41803702.41,17854.22858,0.009779282,23.48214873,6219.64959,45.77118709,425.3705875,,0.314390737
44940274.72,18778.82039,0.010906324,22.11664534,5057.237668,48.34974956,214.0110236,,0.047461711
30339875.2,13571.11499,0.011978944,26.55924709,8534.071677,59.86765161,262.1234499,,0.072489861
59185625.55,15094.72567,0.009140835,20.00160401,8429.532365,26.69499985,432.6256549,,0.332621882
35963462.58,12496.91338,0.009336301,25.28599916,6470.930281,74.58166428,369.6881014,,0.175648393
48703793.04,11065.572,0.011379089,28.39065036,6551.335434,70.02156447,355.4528665,,0.163135648
33519236.11,9771.499661,0.008080833,29.38235563,5578.809446,28.09189682,257.7553554,,0.090202623
51016859.17,6142.310781,0.008259134,20.71176802,5305.548428,42.41060661,407.8026115,,0.266038351
39752011.48,5195.926975,0.01009391,22.14384893,5983.628978,46.65976561,478.5056978,,0.450944795
