iter	Passed	Remaining
0	143	717785
1	148	371061
2	153	256259
3	158	198284
4	163	163504
5	171	142917
6	174	124376
7	177	110910
8	180	99960
9	182	91075
10	184	83868
11	187	77868
12	189	72763
13	191	68374
14	194	64605
15	196	61156
16	198	58090
17	200	55404
18	202	53140
19	204	51023
20	207	49314
21	211	47851
22	213	46253
23	216	44807
24	218	43467
25	220	42150
26	222	40937
27	224	39904
28	226	38855
29	228	37794
30	229	36822
31	231	35919
32	232	35055
33	234	34258
34	236	33478
35	237	32746
36	239	32067
37	241	31487
38	243	30921
39	244	30350
40	246	29772
41	247	29238
42	249	28731
43	250	28246
44	252	27804
45	254	27388
46	255	26962
47	257	26552
48	258	26157
49	260	25781
50	261	25418
51	263	25066
52	264	24717
53	266	24394
54	267	24078
55	269	23789
56	270	23496
57	272	23211
58	273	22937
59	275	22671
60	276	22412
61	278	22160
62	279	21915
63	281	21676
64	282	21428
65	283	21184
66	284	20952
67	285	20723
68	286	20498
69	287	20275
70	289	20067
71	290	19860
72	291	19660
73	292	19462
74	293	19264
75	294	19075
76	295	18889
77	296	18711
78	297	18537
79	298	18365
80	299	18200
81	300	18042
82	301	17885
83	303	17733
84	304	17587
85	305	17435
86	306	17295
87	307	17156
88	308	17013
89	309	16879
90	310	16748
91	311	16623
92	312	16493
93	313	16376
94	314	16254
95	315	16136
96	316	16021
97	317	15905
98	318	15791
99	319	15679
100	320	15568
101	322	15468
102	323	15368
103	324	15265
104	325	15166
105	326	15067
106	327	14972
107	328	14881
108	329	14787
109	330	14693
110	331	14607
111	332	14519
112	333	14433
113	334	14346
114	335	14261
115	336	14183
116	337	14101
117	338	14022
118	339	13945
119	340	13866
120	342	13793
121	343	13721
122	344	13649
123	345	13576
124	346	13506
125	347	13440
126	348	13371
127	349	13302
128	350	13235
129	351	13168
130	352	13104
131	353	13041
132	354	12979
133	355	12916
134	356	12856
135	357	12796
136	359	12745
137	360	12686
138	361	12627
139	362	12569
140	363	12514
141	364	12461
142	365	12407
143	366	12351
144	367	12296
145	368	12243
146	369	12192
147	370	12141
148	371	12090
149	372	12041
150	373	11992
151	374	11958
152	375	11910
153	377	11864
154	378	11817
155	379	11775
156	380	11730
157	381	11685
158	382	11640
159	383	11597
160	384	11554
161	385	11509
162	386	11467
163	387	11425
164	388	11383
165	389	11344
166	390	11302
167	391	11263
168	392	11223
169	393	11183
170	394	11142
171	395	11104
172	396	11066
173	397	11027
174	398	10990
175	399	10953
176	400	10917
177	401	10881
178	402	10845
179	404	10821
180	405	10795
181	406	10765
182	407	10733
183	408	10698
184	409	10666
185	410	10634
186	411	10601
187	412	10569
188	414	10540
189	415	10513
190	416	10482
191	417	10451
192	418	10428
193	419	10401
194	420	10371
195	422	10346
196	423	10316
197	424	10289
198	425	10259
199	426	10230
200	427	10201
201	428	10174
202	429	10148
203	430	10122
204	431	10098
205	432	10073
206	433	10045
207	434	10019
208	436	10003
209	437	9982
210	438	9957
211	439	9933
212	440	9908
213	441	9882
214	442	9857
215	444	9833
216	444	9808
217	446	9783
218	447	9759
219	448	9733
220	448	9708
221	449	9683
222	450	9658
223	451	9634
224	452	9612
225	453	9588
226	454	9566
227	456	9545
228	457	9522
229	458	9500
230	459	9477
231	460	9454
232	461	9432
233	462	9416
234	463	9397
235	464	9378
236	465	9357
237	466	9335
238	467	9313
239	468	9293
240	469	9271
241	470	9252
242	471	9232
243	472	9211
244	473	9194
245	474	9175
246	475	9155
247	476	9137
248	477	9118
249	479	9103
250	480	9084
251	481	9065
252	482	9057
253	484	9045
254	485	9027
255	486	9010
256	487	8992
257	488	8974
258	489	8955
259	490	8937
260	491	8919
261	492	8902
262	493	8894
263	494	8878
264	495	8861
265	496	8844
266	497	8827
267	498	8810
268	499	8793
269	500	8776
270	501	8758
271	502	8742
272	503	8725
273	504	8708
274	505	8691
275	506	8677
276	508	8669
277	509	8656
278	510	8640
279	511	8624
280	512	8608
281	513	8592
282	514	8576
283	515	8561
284	516	8545
285	517	8530
286	518	8515
287	519	8499
288	520	8484
289	521	8470
290	522	8458
291	523	8443
292	524	8433
293	526	8421
294	527	8406
295	528	8393
296	529	8380
297	530	8366
298	531	8352
299	532	8339
300	533	8325
301	534	8310
302	535	8297
303	536	8283
304	537	8272
305	538	8261
306	539	8248
307	540	8235
308	541	8222
309	542	8209
310	543	8196
311	544	8183
312	545	8170
313	546	8157
314	547	8144
315	548	8131
316	549	8118
317	550	8106
318	551	8095
319	552	8083
320	553	8070
321	554	8058
322	555	8046
323	556	8035
324	557	8022
325	558	8009
326	559	7997
327	560	7985
328	561	7973
329	562	7962
330	563	7950
331	564	7940
332	565	7929
333	567	7922
334	568	7912
335	569	7900
336	570	7889
337	571	7877
338	572	7866
339	573	7855
340	574	7845
341	575	7834
342	576	7823
343	577	7812
344	578	7802
345	579	7791
346	580	7780
347	581	7769
348	582	7759
349	583	7748
350	584	7738
351	585	7727
352	586	7717
353	587	7706
354	588	7695
355	589	7685
356	590	7677
357	591	7667
358	592	7657
359	593	7647
360	594	7637
361	595	7628
362	596	7618
363	597	7608
364	598	7598
365	599	7589
366	600	7579
367	601	7569
368	602	7560
369	603	7550
370	604	7541
371	605	7533
372	606	7523
373	607	7513
374	608	7504
375	609	7493
376	610	7488
377	612	7485
378	613	7481
379	614	7473
380	615	7464
381	616	7455
382	617	7447
383	618	7438
384	619	7429
385	621	7424
386	622	7420
387	624	7422
388	625	7419
389	627	7419
390	629	7416
391	630	7412
392	631	7404
393	632	7399
394	633	7390
395	634	7381
396	635	7372
397	636	7365
398	638	7357
399	639	7349
400	640	7341
401	641	7333
402	642	7328
403	643	7320
404	644	7312
405	645	7304
406	646	7295
407	647	7287
408	648	7281
409	649	7273
410	650	7266
411	651	7259
412	652	7251
413	653	7244
414	654	7236
415	655	7228
416	656	7220
417	657	7212
418	659	7205
419	660	7198
420	661	7191
421	662	7184
422	663	7177
423	664	7169
424	665	7161
425	666	7154
426	667	7147
427	668	7140
428	669	7135
429	670	7130
430	671	7123
431	672	7115
432	673	7108
433	675	7101
434	676	7094
435	677	7087
436	678	7079
437	679	7073
438	680	7066
439	681	7058
440	682	7051
441	683	7044
442	684	7037
443	685	7029
444	686	7022
445	687	7016
446	688	7009
447	689	7002
448	690	6995
449	691	6988
450	692	6981
451	693	6974
452	694	6968
453	695	6961
454	696	6953
455	697	6947
456	698	6940
457	699	6933
458	700	6927
459	701	6920
460	702	6913
461	703	6906
462	704	6900
463	705	6894
464	706	6887
465	707	6880
466	708	6873
467	709	6868
468	710	6862
469	711	6855
470	712	6848
471	713	6842
472	714	6837
473	715	6830
474	716	6824
475	717	6818
476	718	6812
477	719	6806
478	720	6801
479	721	6795
480	722	6789
481	723	6783
482	724	6777
483	725	6771
484	726	6765
485	727	6759
486	728	6753
487	729	6747
488	730	6742
489	731	6736
490	732	6730
491	733	6724
492	734	6718
493	735	6712
494	736	6707
495	738	6701
496	739	6696
497	740	6690
498	741	6684
499	742	6678
500	743	6673
501	744	6667
502	745	6661
503	746	6656
504	747	6650
505	748	6644
506	749	6639
507	750	6633
508	751	6628
509	752	6622
510	753	6617
511	754	6611
512	755	6606
513	756	6600
514	757	6595
515	758	6590
516	759	6585
517	760	6580
518	761	6575
519	762	6569
520	763	6564
521	764	6558
522	765	6553
523	766	6548
524	767	6542
525	768	6537
526	769	6532
527	770	6526
528	771	6521
529	772	6517
530	773	6514
531	775	6509
532	776	6504
533	777	6498
534	778	6494
535	779	6488
536	780	6483
537	781	6479
538	782	6474
539	783	6469
540	784	6464
541	785	6459
542	786	6454
543	787	6450
544	788	6445
545	789	6440
546	790	6435
547	791	6429
548	792	6424
549	793	6419
550	794	6414
551	795	6409
552	796	6404
553	797	6399
554	798	6395
555	799	6389
556	800	6385
557	801	6380
558	802	6377
559	803	6373
560	804	6368
561	805	6364
562	806	6359
563	808	6355
564	809	6350
565	810	6345
566	810	6340
567	811	6335
568	812	6331
569	814	6326
570	814	6321
571	816	6317
572	817	6312
573	818	6307
574	819	6303
575	820	6298
576	821	6293
577	822	6289
578	823	6284
579	824	6280
580	825	6276
581	826	6271
582	827	6267
583	828	6263
584	829	6258
585	830	6253
586	831	6249
587	832	6249
588	834	6250
589	836	6251
590	837	6250
591	839	6249
592	840	6249
593	842	6248
594	843	6247
595	845	6247
596	846	6246
597	848	6246
598	850	6245
599	851	6245
600	853	6245
601	854	6244
602	856	6244
603	857	6243
604	859	6241
605	860	6241
606	862	6241
607	863	6240
608	865	6239
609	866	6238
610	868	6236
611	869	6234
612	870	6233
613	872	6232
614	874	6231
615	875	6230
616	876	6229
617	878	6230
618	880	6231
619	882	6231
620	883	6230
621	884	6229
622	886	6229
623	888	6229
624	889	6229
625	891	6229
626	893	6229
627	894	6228
628	896	6227
629	897	6227
630	899	6226
631	900	6225
632	902	6226
633	904	6225
634	905	6224
635	907	6225
636	908	6225
637	910	6224
638	911	6223
639	913	6221
640	914	6220
641	916	6219
642	917	6218
643	919	6217
644	920	6216
645	922	6215
646	923	6214
647	925	6213
648	926	6211
649	928	6210
650	929	6210
651	930	6208
652	932	6207
653	934	6207
654	935	6206
655	937	6206
656	938	6204
657	940	6203
658	941	6202
659	942	6198
660	943	6193
661	944	6189
662	945	6185
663	946	6181
664	947	6177
665	948	6173
666	949	6169
667	950	6165
668	951	6160
669	953	6159
670	954	6159
671	956	6158
672	957	6157
673	959	6156
674	960	6155
675	962	6154
676	963	6153
677	965	6152
678	966	6151
679	968	6149
680	969	6148
681	970	6147
682	972	6147
683	973	6144
684	975	6143
685	976	6140
686	977	6139
687	979	6138
688	980	6137
689	982	6135
690	983	6134
691	985	6133
692	986	6130
693	987	6127
694	988	6124
695	990	6122
696	991	6121
697	992	6118
698	994	6117
699	995	6116
700	996	6114
701	998	6113
702	1000	6113
703	1001	6111
704	1002	6108
705	1004	6107
706	1005	6104
707	1006	6101
708	1007	6098
709	1009	6098
710	1010	6097
711	1011	6094
712	1013	6093
713	1014	6092
714	1016	6090
715	1017	6087
716	1019	6087
717	1020	6084
718	1021	6082
719	1023	6081
720	1024	6079
721	1025	6077
722	1027	6078
723	1028	6077
724	1030	6075
725	1031	6074
726	1033	6073
727	1034	6072
728	1036	6070
729	1037	6067
730	1038	6066
731	1040	6064
732	1041	6062
733	1042	6061
734	1044	6059
735	1045	6058
736	1047	6057
737	1049	6059
738	1050	6058
739	1052	6061
740	1054	6062
741	1056	6062
742	1058	6062
743	1059	6061
744	1061	6060
